Epoch: 0.1976284584980237, Train Loss: 2.0592, Validation Loss: N/A
Epoch: 18.181818181818183, Train Loss: 0.1527, Validation Loss: N/A
Epoch: 18.379446640316207, Train Loss: 0.1517, Validation Loss: N/A
Epoch: 18.57707509881423, Train Loss: 0.1536, Validation Loss: N/A
Epoch: 18.774703557312254, Train Loss: 0.156, Validation Loss: N/A
Epoch: 18.972332015810277, Train Loss: 0.1427, Validation Loss: N/A
Epoch: 19.0, Train Loss: N/A, Validation Loss: 0.1519729495048523
Epoch: 19.1699604743083, Train Loss: 0.1515, Validation Loss: N/A
Epoch: 19.367588932806324, Train Loss: 0.1487, Validation Loss: N/A
Epoch: 19.565217391304348, Train Loss: 0.149, Validation Loss: N/A
Epoch: 19.76284584980237, Train Loss: 0.1505, Validation Loss: N/A
Epoch: 19.960474308300395, Train Loss: 0.151, Validation Loss: N/A
Epoch: 20.0, Train Loss: N/A, Validation Loss: 0.153072327375412
